datetime,open,high,low,close,volume
2021-09-29 00:00:00,2803.34,2860.0,2788.37,2843.49,136722.926
2021-09-29 01:00:00,2843.4,2870.0,2828.69,2850.33,70759.905
2021-09-29 02:00:00,2850.33,2879.99,2849.67,2865.93,66004.859
2021-09-29 03:00:00,2865.93,2900.0,2851.0,2895.49,74263.62
2021-09-29 04:00:00,2895.49,2933.0,2888.31,2906.5,96277.54
2021-09-29 05:00:00,2906.5,2916.04,2887.43,2908.61,61092.624
2021-09-29 06:00:00,2908.61,2930.0,2898.26,2926.44,52068.29
2021-09-29 07:00:00,2926.43,2929.06,2912.63,2922.38,28986.577
2021-09-29 08:00:00,2922.24,2928.01,2905.3,2916.36,39530.945
2021-09-29 09:00:00,2916.35,2916.36,2893.33,2909.45,60035.314
2021-09-29 10:00:00,2909.44,2949.0,2906.05,2926.57,104120.544
2021-09-29 11:00:00,2926.52,2937.24,2913.27,2931.46,50434.958
2021-09-29 12:00:00,2931.54,2948.22,2891.54,2908.89,113525.565
2021-09-29 13:00:00,2908.97,2924.86,2893.6,2916.53,89426.842
2021-09-29 14:00:00,2916.57,2932.32,2911.0,2923.47,62899.988
2021-09-29 15:00:00,2923.47,2931.88,2850.18,2860.34,156777.249
2021-09-29 16:00:00,2860.24,2871.18,2835.0,2843.03,111207.803
2021-09-29 17:00:00,2843.03,2850.96,2810.51,2812.88,83673.29
2021-09-29 18:00:00,2812.88,2831.53,2801.0,2816.52,94420.788
2021-09-29 19:00:00,2816.52,2830.8,2803.04,2808.87,50072.736
2021-09-29 20:00:00,2808.87,2825.1,2780.0,2820.91,108467.73
2021-09-29 21:00:00,2820.9,2833.28,2803.49,2820.07,47994.409
2021-09-29 22:00:00,2820.07,2844.0,2811.13,2835.79,59509.599
2021-09-29 23:00:00,2835.78,2853.14,2830.0,2848.38,38043.764
2021-09-30 00:00:00,2848.38,2937.0,2835.29,2931.56,150308.6
2021-09-30 01:00:00,2931.57,2989.0,2915.77,2959.95,166661.695
2021-09-30 02:00:00,2960.24,2993.0,2956.2,2990.47,62042.9
2021-09-30 03:00:00,2990.46,3037.93,2971.7,3027.48,126650.336
2021-09-30 04:00:00,3027.48,3049.3,3015.5,3018.65,102735.057
2021-09-30 05:00:00,3018.65,3040.75,3018.38,3028.03,46125.441
2021-09-30 06:00:00,3028.15,3044.44,3018.52,3020.67,50977.032
2021-09-30 07:00:00,3020.55,3025.86,2994.0,3001.84,92772.66
2021-09-30 08:00:00,3001.85,3013.17,2958.0,2975.89,130256.391
2021-09-30 09:00:00,2975.89,2993.47,2966.67,2980.32,70852.678
2021-09-30 10:00:00,2980.62,3005.95,2938.92,2950.78,93204.83
2021-09-30 11:00:00,2950.8,2966.96,2944.11,2962.71,79004.802
