datetime,open,high,low,close,volume
2021-01-01 00:00:00,737.18,740.0,730.0,734.6,98092.526
2021-01-01 01:00:00,734.61,750.4,734.0,749.33,164084.062
2021-01-01 02:00:00,749.37,750.4,743.23,745.15,78520.671
2021-01-01 03:00:00,745.15,748.44,744.29,745.88,40294.566
2021-01-01 04:00:00,745.9,748.04,740.41,743.4,58066.061
2021-01-01 05:00:00,743.46,744.32,740.42,741.61,41148.553
2021-01-01 06:00:00,741.73,744.09,737.8,740.76,52966.343
2021-01-01 07:00:00,740.76,741.54,735.1,738.18,76436.651
2021-01-01 08:00:00,738.18,739.55,725.59,731.01,159567.832
2021-01-01 09:00:00,731.01,735.5,730.0,734.38,53274.681
2021-01-01 10:00:00,734.38,739.52,733.81,737.69,54665.853
2021-01-01 11:00:00,737.69,742.9,736.7,739.88,59893.571
2021-01-01 12:00:00,739.89,744.61,732.86,734.03,168005.348
2021-01-01 13:00:00,733.97,743.3,733.82,741.06,75943.638
2021-01-01 14:00:00,741.08,743.83,737.0,738.81,69156.714
2021-01-01 15:00:00,738.8,740.85,734.13,736.06,70756.332
2021-01-01 16:00:00,736.11,738.43,733.62,736.59,48508.717
2021-01-01 17:00:00,736.57,737.41,727.5,729.02,99291.944
2021-01-01 18:00:00,728.8,732.8,714.55,725.14,223223.442
2021-01-01 19:00:00,725.15,729.0,721.64,725.68,75178.086
2021-01-01 20:00:00,725.69,731.56,722.88,730.01,66899.913
2021-01-01 21:00:00,730.09,731.33,727.27,728.89,46047.656
2021-01-01 22:00:00,728.89,732.86,726.6,729.53,39356.565
2021-01-01 23:00:00,729.57,731.28,728.39,729.77,32911.525
2021-01-02 00:00:00,729.7,730.95,717.0,720.8,152567.071
2021-01-02 01:00:00,720.81,732.57,715.6,730.2,148729.853
2021-01-02 02:00:00,730.19,735.38,730.11,730.69,88701.52
2021-01-02 03:00:00,730.68,733.24,729.55,731.42,35297.332
2021-01-02 04:00:00,731.44,731.52,727.05,730.21,53466.565
2021-01-02 05:00:00,730.2,734.16,730.03,732.84,50849.249
2021-01-02 06:00:00,732.84,741.7,731.28,737.88,129854.84
2021-01-02 07:00:00,737.87,739.34,733.57,735.82,69804.569
2021-01-02 08:00:00,735.76,739.43,729.2,734.51,94357.82
2021-01-02 09:00:00,734.51,735.55,723.25,726.31,118679.506
2021-01-02 10:00:00,726.29,734.85,724.0,729.42,92270.741
2021-01-02 11:00:00,729.41,731.99,728.2,730.5,33035.543
2021-01-02 12:00:00,730.47,758.77,729.31,753.78,403692.052
2021-01-02 13:00:00,753.78,774.81,750.55,772.35,445981.123
2021-01-02 14:00:00,772.43,772.85,755.0,762.02,261829.528
2021-01-02 15:00:00,761.96,770.0,761.51,769.57,128195.903
2021-01-02 16:00:00,769.57,785.41,765.49,783.71,499583.018
2021-01-02 17:00:00,783.7,786.9,775.55,780.11,196178.919
2021-01-02 18:00:00,780.03,786.46,772.75,781.16,152641.201
2021-01-02 19:00:00,781.09,788.71,778.19,785.41,146216.417
2021-01-02 20:00:00,785.4,786.2,756.0,759.77,445334.777
2021-01-02 21:00:00,759.61,772.3,754.69,769.73,233257.346
2021-01-02 22:00:00,769.78,775.22,766.25,772.59,75600.508
2021-01-02 23:00:00,772.58,778.21,763.46,775.02,120383.18
2021-01-03 00:00:00,775.04,779.55,771.37,776.42,90530.786
2021-01-03 01:00:00,776.42,779.46,772.93,777.5,93284.414
2021-01-03 02:00:00,777.49,782.37,775.97,779.66,62924.815
2021-01-03 03:00:00,779.66,779.86,771.94,773.22,63267.498
2021-01-03 04:00:00,773.22,779.23,769.19,778.2,74738.651
2021-01-03 05:00:00,778.2,792.0,777.04,787.48,271307.904
2021-01-03 06:00:00,787.44,803.75,784.32,801.15,249016.918
2021-01-03 07:00:00,801.08,807.44,796.0,801.05,190997.458
2021-01-03 08:00:00,800.99,822.28,792.45,819.35,271976.154
2021-01-03 09:00:00,819.35,827.04,813.79,819.93,268763.226
2021-01-03 10:00:00,819.76,830.5,817.5,827.21,268497.686
2021-01-03 11:00:00,827.09,834.0,825.5,830.97,166463.207
2021-01-03 12:00:00,830.97,837.67,827.62,832.44,162481.316
2021-01-03 13:00:00,832.45,891.82,832.37,876.67,708232.167
2021-01-03 14:00:00,876.67,926.62,866.0,914.37,984249.266
2021-01-03 15:00:00,914.45,924.0,882.5,919.75,785344.253
2021-01-03 16:00:00,919.97,985.79,919.82,939.86,1306855.531
2021-01-03 17:00:00,939.86,962.28,920.0,939.94,661164.591
2021-01-03 18:00:00,939.94,946.88,894.21,919.81,571699.162
2021-01-03 19:00:00,919.83,926.81,900.76,923.78,313821.348
2021-01-03 20:00:00,923.67,968.48,921.65,948.99,536781.041
2021-01-03 21:00:00,949.07,961.0,938.34,952.01,201125.95
2021-01-03 22:00:00,952.16,1005.4,947.0,995.52,596360.098
2021-01-03 23:00:00,995.44,1022.51,956.0,980.24,710384.362
2021-01-04 00:00:00,980.23,998.0,953.91,978.19,449135.521
