datetime,open,high,low,close,volume
2021-09-20 00:00:00,3328.99,3347.99,3262.31,3284.51,120060.451
2021-09-20 01:00:00,3284.79,3319.78,3276.05,3313.33,43481.652
2021-09-20 02:00:00,3313.19,3317.41,3204.76,3207.13,192510.398
2021-09-20 03:00:00,3207.0,3217.71,3150.65,3187.46,224650.903
2021-09-20 04:00:00,3187.46,3218.0,3161.8,3200.41,105356.323
2021-09-20 05:00:00,3200.4,3219.0,3191.57,3203.78,43861.069
2021-09-20 06:00:00,3203.83,3212.71,3166.26,3185.35,70506.738
2021-09-20 07:00:00,3185.34,3203.55,3088.0,3127.53,251181.379
2021-09-20 08:00:00,3127.45,3169.56,3112.01,3156.96,125468.214
2021-09-20 09:00:00,3157.08,3172.21,3130.63,3134.0,77586.223
2021-09-20 10:00:00,3134.01,3179.45,3105.79,3123.68,185349.085
2021-09-20 11:00:00,3123.68,3132.75,3011.79,3043.08,416494.6
2021-09-20 12:00:00,3043.08,3072.95,2907.07,3024.79,504305.688
2021-09-20 13:00:00,3024.79,3089.96,2982.94,3086.11,241558.131
2021-09-20 14:00:00,3086.12,3092.0,3041.85,3058.0,134363.997
2021-09-20 15:00:00,3058.0,3097.95,3031.76,3086.38,146210.459
2021-09-20 16:00:00,3086.3,3123.23,3060.19,3091.26,139734.259
2021-09-20 17:00:00,3091.25,3114.09,3072.03,3097.42,67812.421
2021-09-20 18:00:00,3097.42,3107.2,3008.65,3021.05,134753.027
2021-09-20 19:00:00,3021.05,3077.9,2977.0,3073.15,208461.542
2021-09-20 20:00:00,3073.14,3083.0,2986.71,3019.58,112361.734
2021-09-20 21:00:00,3019.58,3051.0,3008.67,3018.09,66603.347
2021-09-20 22:00:00,3018.1,3062.5,2961.55,2993.08,114672.573
2021-09-20 23:00:00,2993.08,3016.68,2947.5,2978.34,167511.634
2021-09-21 00:00:00,2978.34,2980.0,2805.0,2882.82,494061.614
2021-09-21 01:00:00,2882.82,3000.0,2871.95,2993.3,195927.915
2021-09-21 02:00:00,2993.29,3032.8,2979.62,3017.24,125929.706
2021-09-21 03:00:00,3017.21,3021.9,2985.1,2998.77,80727.673
2021-09-21 04:00:00,2998.77,3023.59,2966.0,2976.33,89298.858
2021-09-21 05:00:00,2976.34,3012.23,2951.0,2995.66,106206.633
2021-09-21 06:00:00,2996.17,3050.99,2995.14,3038.87,95259.383
2021-09-21 07:00:00,3038.71,3074.5,3026.91,3073.97,99971.078
2021-09-21 08:00:00,3073.94,3089.36,3055.0,3076.97,101159.238
2021-09-21 09:00:00,3076.96,3087.48,3039.03,3050.93,70784.622
2021-09-21 10:00:00,3050.93,3108.17,3040.11,3081.74,104007.624
2021-09-21 11:00:00,3081.74,3088.9,3055.6,3062.15,74519.705
2021-09-21 12:00:00,3062.16,3085.01,3023.0,3024.36,149115.749
2021-09-21 13:00:00,3024.36,3060.0,3009.25,3032.28,110804.539
2021-09-21 14:00:00,3032.27,3036.25,2965.6,2991.22,162247.021
2021-09-21 15:00:00,2990.99,3063.49,2986.22,3035.93,129834.116
2021-09-21 16:00:00,3035.94,3049.38,2933.01,2943.88,177191.717
2021-09-21 17:00:00,2943.88,2953.62,2875.07,2900.0,311179.377
2021-09-21 18:00:00,2898.75,2960.69,2887.62,2899.37,204231.834
2021-09-21 19:00:00,2899.36,2918.82,2863.55,2886.63,113994.858
2021-09-21 20:00:00,2886.63,2920.6,2750.0,2768.54,421225.644
2021-09-21 21:00:00,2768.5,2881.23,2647.8,2819.36,489027.925
2021-09-21 22:00:00,2819.37,2835.0,2715.0,2723.3,202622.386
