,0,1,2
0,Sun Aug 22 18:44:48 2021,buy,-
,datetime,buy/sell,profit
119,2020-10-30 02:00:00,sell,296.2372480262507
120,2020-10-30 03:00:00,buy,-
121,2020-10-30 06:00:00,sell,293.18188251722125
122,2020-10-31 10:00:00,buy,-
123,2020-11-02 22:00:00,sell,289.51141365004844
124,2020-11-04 06:00:00,buy,-
125,2020-11-08 09:00:00,sell,315.3178083377521
126,2020-11-10 07:00:00,buy,-
127,2020-11-11 11:00:00,sell,323.6836263488579
128,2020-11-11 20:00:00,buy,-
129,2020-11-15 04:00:00,sell,328.69798497124464
130,2020-11-16 22:00:00,buy,-
131,2020-11-23 13:00:00,sell,367.01343078326096
132,2020-11-24 17:00:00,buy,-
133,2020-11-26 13:00:00,sell,332.43898999342315
134,2020-11-29 07:00:00,buy,-
135,2020-12-03 04:00:00,sell,356.819436448085
136,2020-12-04 08:00:00,buy,-
137,2020-12-04 16:00:00,sell,349.5098322385189
138,2020-12-04 17:00:00,buy,-
139,2020-12-05 07:00:00,sell,349.8355930396805
140,2020-12-07 05:00:00,buy,-
141,2020-12-08 16:00:00,sell,343.7234592269022
142,2020-12-13 01:00:00,buy,-
143,2020-12-22 03:00:00,sell,420.05075388395915
144,2020-12-24 05:00:00,buy,-
145,2020-12-25 11:00:00,sell,449.7736074656028
146,2020-12-25 14:00:00,buy,-
147,2020-12-29 23:00:00,sell,513.1076809748552
148,2020-12-30 09:00:00,buy,-
149,2021-01-05 11:00:00,sell,585.3344147916177
150,2021-01-06 14:00:00,buy,-
151,2021-01-11 00:00:00,sell,654.6449612244247
152,2021-01-14 04:00:00,buy,-
153,2021-01-16 20:00:00,sell,642.3564039318161
154,2021-01-19 14:00:00,buy,-
155,2021-01-20 18:00:00,sell,612.391904961657
156,2021-01-24 13:00:00,buy,-
157,2021-01-27 01:00:00,sell,616.7719299061579
158,2021-01-29 04:00:00,buy,-
159,2021-01-31 12:00:00,sell,638.3585986128444
160,2021-02-02 12:00:00,buy,-
161,2021-02-14 06:00:00,sell,906.7898181148731
162,2021-02-14 14:00:00,buy,-
163,2021-02-23 00:00:00,sell,1007.7064789147993
164,2021-03-01 23:00:00,buy,-
165,2021-03-05 05:00:00,sell,960.2778298733041
166,2021-03-07 11:00:00,buy,-
167,2021-03-15 23:00:00,sell,1073.27299226159
168,2021-03-18 10:00:00,buy,-
169,2021-03-21 17:00:00,sell,1050.9658090132652
170,2021-03-27 19:00:00,buy,-
171,2021-04-04 06:00:00,sell,1084.5739048109542
172,2021-04-06 11:00:00,buy,-
173,2021-04-07 10:00:00,sell,1067.3304266780017
174,2021-04-09 18:00:00,buy,-
175,2021-04-13 02:00:00,sell,1114.304465492456
176,2021-04-13 11:00:00,buy,-
177,2021-04-16 09:00:00,sell,1084.6022304266717
178,2021-04-26 08:00:00,buy,-
179,2021-04-30 02:00:00,sell,1105.90642759626
180,2021-04-30 21:00:00,buy,-
181,2021-05-04 01:00:00,sell,1083.9761981277468
182,2021-05-06 17:00:00,buy,-
183,2021-05-10 19:00:00,sell,1087.8037259682571
184,2021-05-25 03:00:00,buy,-
185,2021-05-28 15:00:00,sell,1052.6817421586748
186,2021-05-31 18:00:00,buy,-
187,2021-06-05 00:00:00,sell,1084.4028196663378
188,2021-06-10 03:00:00,buy,-
189,2021-06-12 13:00:00,sell,1058.966964104418
190,2021-06-14 03:00:00,buy,-
191,2021-06-17 00:00:00,sell,1050.385762439123
192,2021-06-24 03:00:00,buy,-
193,2021-06-26 00:00:00,sell,1038.5505025380623
194,2021-06-28 08:00:00,buy,-
195,2021-07-01 08:00:00,sell,998.6552021978243
196,2021-07-03 23:00:00,buy,-
197,2021-07-05 22:00:00,sell,985.1129595684517
198,2021-07-08 03:00:00,buy,-
199,2021-07-08 14:00:00,sell,970.1568674938102
200,2021-07-10 18:00:00,buy,-
201,2021-07-13 01:00:00,sell,962.6140042448716
202,2021-07-22 02:00:00,buy,-
203,2021-07-30 13:00:00,sell,1176.682678113045
204,2021-07-31 02:00:00,buy,-
205,2021-08-02 17:00:00,sell,1118.7758919537546
206,2021-08-05 23:00:00,buy,-
207,2021-08-12 12:00:00,sell,1231.1896727310375
208,2021-08-13 22:00:00,buy,-
209,2021-08-16 06:00:00,sell,1235.5766556239628
210,2021-08-16 08:00:00,buy,-
211,2021-08-16 19:00:00,sell,1218.550024403994
212,2021-08-20 04:00:00,buy,-
,0,1,2
0,Sun Aug 22 20:34:15 2021,buy,-
